trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.005, 'e': 0.5445028894968026}",20,14,5.339614943567594,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.005, 'e': 0.5403023058681397}",20,0,-41.6228449032358,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
202,False,"{'a': 0.005, 'e': 0.5360882147099707}",30,0,-66.99620604661895,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
203,False,"{'a': 0.005, 'e': 0.5318607213743555}",20,0,-32.52251952327652,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
204,False,"{'a': 0.005, 'e': 0.5276199315484067}",20,2,-34.04093442643891,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
205,False,"{'a': 0.005, 'e': 0.5233659512516495}",20,12,-31.16546430424212,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
206,False,"{'a': 0.005, 'e': 0.5190988868333698}",25,0,-12.501545625115602,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
207,False,"{'a': 0.005, 'e': 0.5148188449699553}",30,5,8.504894878335394,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.005, 'e': 0.5105259326622302}",20,5,-84.41230041663006,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
209,False,"{'a': 0.005, 'e': 0.5062202572327784}",25,0,-11.626623041904018,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
210,False,"{'a': 0.005, 'e': 0.5019019263232615}",20,0,-51.33275249157495,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
211,False,"{'a': 0.005, 'e': 0.49757104789172696}",25,0,-1.7104231485496477,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
212,False,"{'a': 0.005, 'e': 0.4932277302099105}",30,11,-9.574331364593068,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
213,False,"{'a': 0.005, 'e': 0.4888720818605275}",20,0,6.515987882671267,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.005, 'e': 0.48450421173456026}",20,11,-4.29754391395119,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.005, 'e': 0.4801242290285341}",25,0,-101.39861240790462,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
216,False,"{'a': 0.005, 'e': 0.4757322432417888}",25,6,-71.61211274535539,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
217,False,"{'a': 0.005, 'e': 0.47132836417373997}",30,10,-0.8283032145029874,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
218,False,"{'a': 0.005, 'e': 0.4669127019211353}",20,14,5.682518266600853,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.005, 'e': 0.4624853668753008}",20,0,-84.56786421029179,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
220,False,"{'a': 0.005, 'e': 0.45804646971938234}",25,0,-28.487465858903025,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
221,False,"{'a': 0.005, 'e': 0.4535961214255773}",20,16,7.418597995475283,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.005, 'e': 0.4491344332523616}",20,14,-0.9259278905233286,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.005, 'e': 0.4446615167417068}",20,12,18.27909088103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.005, 'e': 0.440177483716293}",20,9,-43.08967652703087,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
225,False,"{'a': 0.005, 'e': 0.4356824462767121}",20,0,-17.639701199945122,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
226,False,"{'a': 0.005, 'e': 0.4311765167986662}",20,10,19.42510724939471,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
